('table_021-proc.json', 'Industry')
('table_022-proc.json', 'Industry')
('table_01-proc.json', 'Industry')
('table_05-proc.json', 'Industry')
('table_018-proc.json', 'Industry')
('table_06-proc.json', 'Industry')
('table_013-proc.json', 'Industry')
('table_04-proc.json', 'Industry')
('table_034-proc.json', 'Industry')
